ore_studio,punteggio_esame
7.28,79.52
11.82,94.9
12.79,108.57
17.03,124.04
19.32,140.91
4.77,65.24
9.04,89.52
19.66,136.95
14.26,113.31
4.85,67.45
13.02,98.69
7.47,75.23
9.09,92.14
16.59,127.32
5.84,67.24
19.3,129.18
5.95,70.97
10.42,98.89
3,63.34
19.07,128.81
11.33,91.44
11.1,95.2
14.78,114.79
6.11,66.26
4.18,64.89
11.5,102.75
12.61,103.18
7.89,75.55
4.99,65.41
15.79,112.9
15.33,122.38
12.27,101.99
17.78,125.85
3.19,61.86
10.39,87.66
10.1,95.02
16.04,119.57
1.98,55.82
14.06,110.94
15.31,115.05
10.58,92.27
8.15,82.24
4.46,70.35
5.41,65.94
9.38,90.34
14.27,104
12.61,107.3
10.47,92.24
2.3,53.33
16.02,124.26
10.42,93.66
8.49,82.86
8.78,79.71
14.96,115.15
13.57,103.28
7.23,77.67
17.49,132.82
17.88,133.86
19.37,134.31
8.45,89.55
7.84,84.66
13.51,100
7.49,78.18
6.66,71.93
15.51,111.85
2.67,61.28
3.76,62.19
3.21,51.86
13.88,110.74
5.94,65.25
16.74,126.23
16.92,128.36
10.41,89.2
10.64,97.5
18.39,126.11
15.03,110.11
15.93,117.25
9.33,89.08
6.52,72.26
11.68,91.31
19.9,139.21
15.76,117.62
16.32,126.97
10.84,92.57
9.63,81.72
1.19,51.97
4.73,62.01
2.56,49.8
14.31,109.72
17.21,127.99
6.8,78.79
12.78,109.93
3.19,57.29
10.94,97.68
12.97,107.75
16.54,124.9
17.47,121.09
16.76,123.41
4.25,62.6
18.57,124.92
4.31,68.9
2.34,48.81
12.43,103.47
16.43,123.87
17.68,125.82
15.24,120.13
15.13,108.34
16.96,118.4
7.15,79.54
2.9,49.85
7.85,78.74
11.3,92.13
11.66,92.3
8.99,90.64
5.94,70.12
3.2,59.44
17.21,124.6
5.36,74.11
14.47,108.93
14.91,107.57
10.47,90.17
5.26,73.49
4.11,55.4
13.42,106.24
19.33,131.13
2.11,54.87
6.92,70.82
4.16,60.99
7.43,81.16
18.66,136.13
8.99,82.55
7.13,78.01
2.58,52.17
19.61,142.43
1.21,50.93
10.51,88.8
3.11,53.95
10.63,92.21
16.74,117.25
15.62,119.15
4.22,64.67
19.85,141.01
3.64,59.27
2.43,58.64
11.21,95.26
18.82,130.52
7.27,80.67
